id,duration,intensity,cog,sdev,skew,kurt,Segment,Vowel,Variety,Stress,Voice,Position
2188,0.0870055619,52.0133020389,10871.9296952484,2273.3647868573,-1.3053740546,4.9494408612,s,a,CG,Unstressed,Voiceless,Initial
2189,0.1320979087,41.3916789757,10792.0553116825,2432.2297267051,-1.707770556,5.5007256621,s,a,CG,Stressed,Voiceless,Initial
2190,0.0789365552,46.6225244781,10502.4932450359,2570.6384690267,-1.7289115647,4.8557771536,s,a,CG,Unstressed,Voiceless,Initial
2191,0.1022359309,47.8163570965,9726.5330933051,2331.48120836,-0.5141894309,2.3324910009,s,a,CG,Stressed,Voiceless,Initial
2192,0.0758524649,48.0034643571,10333.497156901,1940.5194371771,-0.3605334993,3.5195111613,s,a,CG,Unstressed,Voiceless,Initial
2193,0.1347291951,52.7230780412,10351.1190118202,3511.9437473865,-1.304260372,1.7766576587,s,a,CG,Stressed,Voiceless,Initial
2194,0.1197592845,48.5190944683,10053.0512084346,3445.2380131708,-1.1658062781,1.4000541244,s,a,CG,Unstressed,Voiceless,Initial
2195,0.1080794194,52.3295243733,9152.6688424918,2893.5155175906,0.1751291944,0.421298933,s,a,CG,Stressed,Voiceless,Initial
2196,0.1050772133,55.5446580191,6718.1478164434,3879.0900977089,-0.2766392639,-0.3372544322,s,a,CG,Unstressed,Voiceless,Initial
2197,0.1348634813,42.2978846717,11015.7384079755,2034.8084949252,-1.2528790305,4.7926616929,s,a,CG,Stressed,Voiceless,Initial
2198,0.1037411395,44.3117469169,10708.1027852566,2608.9368102402,-2.2028762155,6.697929544,s,a,CG,Unstressed,Voiceless,Initial
2199,0.1476402007,28.2532474617,11556.7589966384,2631.0471817536,-1.0327774475,2.2950907787,s,a,CG,Stressed,Voiceless,Initial
2200,0.1154277932,31.9480207006,10626.0969882353,2947.7521054049,-1.3891544643,2.7970656123,s,a,CG,Unstressed,Voiceless,Initial
2201,0.1387076111,32.2758502454,10288.6068385001,3010.0746021037,-0.4640505755,0.6802732261,s,a,CG,Stressed,Voiceless,Initial
2202,0.1046611975,30.6396782146,8842.8210036945,3902.9221076021,-0.2630353089,-0.2955481121,s,a,CG,Unstressed,Voiceless,Initial
2203,0.1213487372,30.3774090717,10199.5888154712,3080.2391466472,-0.2034708865,-0.0417391526,s,a,CG,Stressed,Voiceless,Initial
2204,0.0935396516,32.8966764221,10392.8669422685,2819.2445390866,-0.1950741982,-0.0307644504,s,a,CG,Unstressed,Voiceless,Initial
2205,0.1559105075,32.1995985678,11538.6694852896,2208.4368283048,-1.0519534005,3.4816001252,s,a,CG,Stressed,Voiceless,Initial
2206,0.0872526693,33.5785023198,10287.2252845989,2533.6548967109,-0.9933633036,2.6204286975,s,a,CG,Unstressed,Voiceless,Initial
2207,0.127963612,30.4056283207,10506.8417220184,3485.9698098839,-0.709336679,0.378484328,s,a,CG,Stressed,Voiceless,Initial
2208,0.0828855214,34.0276021421,10991.4102500679,2264.9122145502,-1.5267589281,4.3793601098,s,a,CG,Unstressed,Voiceless,Initial
2209,0.1618315807,29.4146858756,10185.045223372,2851.1997287501,-1.1919979264,2.6396080959,s,a,CG,Stressed,Voiceless,Initial
2210,0.0908119661,29.4757968065,10532.0077230449,2650.1821411571,-1.1915598377,3.2126373089,s,a,CG,Unstressed,Voiceless,Initial
2211,0.105448327,39.7068296437,11131.5806667621,1907.4577490522,-0.7317726568,4.9477539723,s,a,CG,Stressed,Voiceless,Initial
2212,0.0858650663,41.6191933009,10931.1294192941,2006.3521662774,-0.9768176609,4.1160422025,s,a,CG,Unstressed,Voiceless,Initial
2213,0.1071780787,35.0563638992,11149.7115278573,1953.9440107002,-0.90557132,3.8816672972,s,a,CG,Stressed,Voiceless,Initial
2214,0.1088793181,35.2343097329,10946.0761849172,2103.241146396,-0.8278815977,3.3250000094,s,a,CG,Unstressed,Voiceless,Initial
2215,0.0729838015,46.5378717285,10636.4715133868,2218.0720335172,-1.0995267185,3.1367987029,s,a,CG,Stressed,Voiceless,Initial
2216,0.0813248074,38.3957181849,10757.9923653169,2311.6457313712,-1.4491662348,4.988824632,s,a,CG,Unstressed,Voiceless,Initial
2217,0.1018462616,48.2157120346,11086.9565872296,1833.244300253,-0.9663781441,5.6734295234,s,a,CG,Stressed,Voiceless,Initial
2218,0.0617578395,39.3736696123,9696.6335347059,3018.8730087593,-0.7440789002,0.3891642955,s,a,CG,Unstressed,Voiceless,Initial
2219,0.0970276674,43.781051358,10574.9983808142,2667.6269578635,-0.8796303702,2.4680168227,s,a,CG,Stressed,Voiceless,Initial
2220,0.0666334584,41.9225820888,10544.7939233721,2334.8336863524,-0.6273772909,2.2392870281,s,a,CG,Unstressed,Voiceless,Initial
2221,0.1152518375,52.2826114272,11786.9672733612,1621.5606908709,-0.9851201504,6.806048669,s,a,CG,Stressed,Voiceless,Initial
2222,0.0816975051,45.5324983012,11098.7575549388,1901.9649038017,-0.4314531835,3.5069187689,s,a,CG,Unstressed,Voiceless,Initial
2223,0.0607504016,28.4575075367,8430.6332726858,2706.780640662,0.426439982,-0.1414313698,s,a,CG,Stressed,Voiceless,Initial
2224,0.0710908955,31.6022424955,5473.4506017301,4590.3740692833,0.4296548207,-0.9187674896,s,a,CG,Unstressed,Voiceless,Initial
2225,0.0791931667,25.1026123612,9105.9602730064,3124.011293868,-0.1877654822,-0.2416341015,s,a,CG,Stressed,Voiceless,Initial
2226,0.0691140364,26.6315132942,8253.9696307602,3312.0585335034,-0.0007376439,-0.3726981486,s,a,CG,Unstressed,Voiceless,Initial
