"","Word","Freq","Prop"
"1972","grunt",1,3.7811472000605e-05
"1973","guard",1,3.7811472000605e-05
"1974","guilt",1,3.7811472000605e-05
"1975","handsome",1,3.7811472000605e-05
"1976","handwriting",1,3.7811472000605e-05
"1977","happening",1,3.7811472000605e-05
"1978","happy",1,3.7811472000605e-05
"1979","harm",1,3.7811472000605e-05
"1980","haste",1,3.7811472000605e-05
"1981","hat",1,3.7811472000605e-05
"1982","hatching",1,3.7811472000605e-05
"1983","hate",1,3.7811472000605e-05
"1984","hate c",1,3.7811472000605e-05
"1985","hated",1,3.7811472000605e-05
"1986","hatter s",1,3.7811472000605e-05
"1987","hatters",1,3.7811472000605e-05
"1988","he d",1,3.7811472000605e-05
"1989","he ll",1,3.7811472000605e-05
"1990","head brandy",1,3.7811472000605e-05
"1991","head s",1,3.7811472000605e-05
"1992","heap",1,3.7811472000605e-05
"1993","hearth",1,3.7811472000605e-05
"1994","hearthrug",1,3.7811472000605e-05
"1995","hedges",1,3.7811472000605e-05
"1996","heels",1,3.7811472000605e-05
"1997","helped",1,3.7811472000605e-05
"1998","helpless",1,3.7811472000605e-05
"1999","herald",1,3.7811472000605e-05
"2000","hers she",1,3.7811472000605e-05
"2001","hid",1,3.7811472000605e-05
"2002","hide",1,3.7811472000605e-05
"2003","highest",1,3.7811472000605e-05
"2004","him how",1,3.7811472000605e-05
"2005","him it",1,3.7811472000605e-05
"2006","hippopotamus",1,3.7811472000605e-05
"2007","hiss",1,3.7811472000605e-05
"2008","histories",1,3.7811472000605e-05
"2009","hjckrrh",1,3.7811472000605e-05
"2010","hm",1,3.7811472000605e-05
"2011","hoarsely",1,3.7811472000605e-05
"2012","holiday",1,3.7811472000605e-05
"2013","hollow",1,3.7811472000605e-05
"2014","honest",1,3.7811472000605e-05
"2015","hoped",1,3.7811472000605e-05
"2016","hopeful",1,3.7811472000605e-05
"2017","hopeless",1,3.7811472000605e-05
"2018","hot tempered",1,3.7811472000605e-05
"2019","housemaid",1,3.7811472000605e-05
"2020","houses",1,3.7811472000605e-05
"2021","howled",1,3.7811472000605e-05
"2022","humble",1,3.7811472000605e-05
"2023","hundred",1,3.7811472000605e-05
"2024","hung",1,3.7811472000605e-05
"2025","hurrying",1,3.7811472000605e-05
"2026","i i",1,3.7811472000605e-05
"2027","i i m",1,3.7811472000605e-05
"2028","idiot",1,3.7811472000605e-05
"2029","idiotic",1,3.7811472000605e-05
"2030","if if",1,3.7811472000605e-05
"2031","ignorant",1,3.7811472000605e-05
"2032","ii",1,3.7811472000605e-05
"2033","iii",1,3.7811472000605e-05
"2034","imitated",1,3.7811472000605e-05
"2035","immediate",1,3.7811472000605e-05
"2036","immense",1,3.7811472000605e-05
"2037","impatient",1,3.7811472000605e-05
"2038","impertinent",1,3.7811472000605e-05
"2039","important unimportant unimportant important",1,3.7811472000605e-05
"2040","improve",1,3.7811472000605e-05
"2041","incessantly",1,3.7811472000605e-05
"2042","inclined",1,3.7811472000605e-05
"2043","indignant",1,3.7811472000605e-05
"2044","injure",1,3.7811472000605e-05
"2045","ink",1,3.7811472000605e-05
"2046","inkstand",1,3.7811472000605e-05
"2047","inquired",1,3.7811472000605e-05
"2048","inquisitively",1,3.7811472000605e-05
"2049","insolence",1,3.7811472000605e-05
"2050","insult",1,3.7811472000605e-05
"2051","interest",1,3.7811472000605e-05
"2052","interrupt",1,3.7811472000605e-05
"2053","introduced",1,3.7811472000605e-05
"2054","invent",1,3.7811472000605e-05
"2055","invented",1,3.7811472000605e-05
"2056","involved",1,3.7811472000605e-05
"2057","inwards",1,3.7811472000605e-05
